CVE,pairs,exposed_past_disclosure,burden_disclosure,exposed_past_release,burden_release,median_delay_disclosure,burden_per_pair,class,pattern,severity,dependents,% of total burden
CVE-2020-1953,8,8,1954.1955671296296,8,1997.3114004629629,119.6953761574074,244.2744458912037,Silent,S1,High,46,0.54
CVE-2020-26259,24,22,2015.879212962963,24,2062.435497685185,26.011510416666667,83.99496720679012,Silent,S1,Medium,179,0.56
CVE-2020-26939,2,2,368.7171990740741,2,1638.8147916666667,184.35859953703704,184.35859953703704,Silent,S1,Medium,12,0.1
CVE-2020-26945,16,10,2428.578090277778,16,2461.940011574074,97.81845486111112,151.78613064236112,Silent,S1,Medium,193,0.67
CVE-2020-28052,26,17,2786.212025462963,26,3683.933425925926,73.29504629629629,107.16200097934474,Silent,S1,Medium,127,0.77
CVE-2020-28491,5,3,88.14697916666667,4,350.81368055555555,9.692002314814816,17.629395833333334,Transparent,T1,Medium,34,0.02
CVE-2020-2933,5,5,1099.8645601851852,5,1073.849050925926,131.5683564814815,219.97291203703702,Silent,S2,Low,138,0.31
CVE-2020-35217,2,2,91.27684027777778,2,564.3618865740741,45.63842013888889,45.63842013888889,Transparent,T1,Medium,44,0.03
CVE-2020-5397,9,8,468.95315972222227,9,491.2450578703704,42.13251157407407,52.10590663580248,Transparent,T1,Low,80,0.13
CVE-2020-5398,2,2,9.076018518518518,2,12.190509259259258,4.538009259259259,4.538009259259259,Transparent,T1,High,70,0.0
CVE-2020-5408,3,3,406.8301157407408,3,429.4475462962963,111.93741898148149,135.61003858024694,Transparent,T1,Medium,63,0.11
CVE-2020-5421,4,4,1046.844675925926,4,1060.548611111111,236.8525,261.7111689814815,Silent,S1,Low,97,0.29
CVE-2020-5529,2,2,182.7859837962963,2,209.03068287037036,91.39299189814815,91.39299189814815,Silent,S1,Medium,12,0.05
CVE-2020-7238,5,0,0.0,5,60.020069444444445,-28.342395833333335,0.0,Transparent,T1,Medium,41,0.0
CVE-2020-7692,3,3,695.9905324074074,3,723.3820254629629,178.02800925925925,231.99684413580246,Transparent,T1,Medium,26,0.19
CVE-2021-20328,2,2,690.9465856481481,2,703.6491087962963,345.47329282407406,345.47329282407406,Silent,S1,Medium,15,0.19
CVE-2021-21343,11,10,656.7182060185186,11,749.2031481481481,58.17428240740741,59.701655092592596,Silent,S1,Medium,169,0.18
CVE-2021-21346,21,18,1018.7195486111111,21,1190.855,29.900532407407407,48.510454695767194,Silent,S1,High,179,0.28
CVE-2021-21347,24,18,1038.6822916666665,24,5517.9073148148145,14.934953703703703,43.278428819444436,Transparent,T1,High,179,0.29
CVE-2021-21349,21,18,1080.7375925925926,21,1252.8730439814815,29.900532407407407,51.463694885361555,Silent,S1,Medium,179,0.3
CVE-2021-21351,22,18,1018.7195486111111,21,1190.855,29.240596064814817,46.30543402777778,Transparent,T1,Medium,179,0.28
CVE-2021-22112,5,2,81.72274305555555,5,108.88333333333334,-7.627743055555555,16.34454861111111,Transparent,T1,Critical,22,0.02
CVE-2021-22118,11,5,642.4430208333333,11,745.4930092592592,-7.281423611111111,58.40391098484849,Transparent,T1,Medium,78,0.18
CVE-2021-22569,11,4,106.59731481481481,11,130.89344907407408,-3.644467592592593,9.690664983164982,Transparent,T1,Medium,128,0.03
CVE-2021-28164,8,7,420.64190972222224,8,471.20537037037036,27.253836805555558,52.58023871527778,Silent,S1,Medium,26,0.12
CVE-2021-28168,1,1,3.4017245370370373,1,8.573414351851852,3.4017245370370373,3.4017245370370373,Transparent,T1,Low,16,0.0
CVE-2021-28657,5,5,422.8776273148148,5,455.6974768518519,9.305127314814817,84.57552546296296,Silent,S1,Medium,19,0.12
CVE-2021-29262,5,5,206.7567476851852,5,238.4000925925926,49.85084490740741,41.35134953703704,Silent,S1,Medium,14,0.06
CVE-2021-29943,5,5,206.75171296296296,0,0.0,49.84581018518519,41.35034259259259,Transparent,T2,Medium,14,0.06
CVE-2021-30179,2,1,195.0767476851852,2,420.13265046296294,97.08125578703705,97.5383738425926,Transparent,T1,High,23,0.05
CVE-2021-31684,3,0,0.0,3,15.02300925925926,-35.717534722222226,0.0,Transparent,T1,Medium,68,0.0
