CVE_ID,dependents,upstream_GAV,severity,cvss,CWE,Link Presence,stars_count_at_commit,commits_count_at_commit,rq1_reporting,upstream_GA,rq2_class,pattern,in_analysis
CVE-2019-3795,63,org.springframework.security:spring-security-core:4.2.3.RELEASE,Medium,5.0,CWE-330,contains links,3031.0,7595.0,Transparent,org.springframework.security:spring-security-core,Transparent,T1,True
CVE-2019-3797,8,org.springframework.data:spring-data-jpa:2.0.8.RELEASE,Medium,5.0,CWE-200,contains links,1335.0,1197.0,Transparent,org.springframework.data:spring-data-jpa,,,False
CVE-2019-3799,2,org.springframework.cloud:spring-cloud-config-server:1.2.2.RELEASE,Medium,4.3,CWE-22,no links,1176.0,1120.0,Silent,org.springframework.cloud:spring-cloud-config-server,,,False
CVE-2019-3802,11,org.springframework.data:spring-data-jpa:1.10.2.RELEASE,Medium,5.0,,contains links,1371.0,1219.0,Transparent,org.springframework.data:spring-data-jpa,,,False
CVE-2019-3875,9,org.keycloak:keycloak-services:3.4.3.Final,Medium,5.8,CWE-295,no links,3253.0,13421.0,Silent,org.keycloak:keycloak-services,,,False
CVE-2019-3888,53,io.undertow:undertow-core:1.4.20.Final,Medium,5.0,CWE-532,contains links,2164.0,4508.0,Transparent,io.undertow:undertow-core,Transparent,T1,True
CVE-2019-3894,21,org.wildfly:wildfly-ee:15.0.0.Final,Medium,6.5,,contains links,2039.0,27853.0,Transparent,org.wildfly:wildfly-ee,,,False
CVE-2019-5427,108,com.mchange:c3p0:0.9.5.2,Medium,5.0,CWE-776,no links,895.0,352.0,Silent,com.mchange:c3p0,Silent,S1,True
CVE-2019-6002,3,com.linecorp.centraldogma:centraldogma-server:0.40.1,Medium,4.3,CWE-79,contains links,251.0,392.0,Transparent,com.linecorp.centraldogma:centraldogma-server,,,False
CVE-2019-7614,31,org.elasticsearch:elasticsearch:7.2.0,Medium,4.3,CWE-362,contains links,38978.0,46864.0,Transparent,org.elasticsearch:elasticsearch,Transparent,T1,True
CVE-2019-7722,4,net.sourceforge.pmd:pmd-core:5.8.1,Medium,6.8,CWE-611,contains links,1010.0,11294.0,Transparent,net.sourceforge.pmd:pmd-core,,,False
CVE-2019-9658,4,com.puppycrawl.tools:checkstyle:8.12,Medium,5.0,CWE-611,contains links,3959.0,8232.0,Transparent,com.puppycrawl.tools:checkstyle,,,False
CVE-2019-9827,2,io.hawt:hawtio-system:1.4.55,High,7.5,CWE-918,contains links,718.0,7894.0,Transparent,io.hawt:hawtio-system,,,False
