CVE,upstream_GA,downstream_GA,downstream_repo,class,pattern,stage,after_disclosure,delay_fix,delay_release,delay_disclosure,delay_report
CVE-2016-1182,struts:struts,com.github.hazendaz:displaytag,hazendaz/displaytag,Silent,S1,After disclosure,1,535.6045370370371,535.6045370370371,510.0896064814815,
CVE-2021-22569,com.google.protobuf:protobuf-java,software.amazon.kinesis:amazon-kinesis-client,awslabs/amazon-kinesis-client,Transparent,T1,After disclosure,1,51.51755787037037,51.51755787037037,46.93782407407407,51.311643518518515
CVE-2021-22569,com.google.protobuf:protobuf-java,io.apicurio:apicurio-registry-protobuf-schema-utilities,apicurio/apicurio-registry,Transparent,T1,Safe window,0,1.3200810185185186,1.3200810185185186,-3.2596527777777777,1.1141666666666667
CVE-2021-22569,com.google.protobuf:protobuf-java,no.entur.mapstruct.spi:protobuf-usage,entur/mapstruct-spi-protobuf,Transparent,T1,Safe window,0,0.5737962962962962,0.5737962962962962,-4.0059375,0.3678819444444444
CVE-2021-22569,com.google.protobuf:protobuf-java,org.hyperledger.fabric-sdk-java:fabric-sdk-java,hyperledger/fabric-sdk-java,Transparent,T1,After disclosure,1,11.9690625,11.9690625,7.389328703703704,11.763148148148147
CVE-2021-22569,com.google.protobuf:protobuf-java,io.automatiko.workflow:automatiko-workflow-core,automatiko-io/automatiko-engine,Transparent,T1,After disclosure,1,5.185138888888889,5.185138888888889,0.6054050925925926,4.979224537037037
CVE-2021-22569,com.google.protobuf:protobuf-java,org.projectnessie:nessie-server-store,projectnessie/nessie,Transparent,T1,Safe window,0,0.9352662037037036,0.9352662037037036,-3.644467592592593,0.7293518518518518
CVE-2021-22569,com.google.protobuf:protobuf-java,io.envoyproxy.protoc-gen-validate:pgv-java-stub,envoyproxy/protoc-gen-validate,Transparent,T1,After disclosure,1,56.244490740740744,56.244490740740744,51.66475694444444,56.03857638888889
CVE-2021-22569,com.google.protobuf:protobuf-java,xyz.gianlu.librespot:librespot-lib,librespot-org/librespot-java,Transparent,T1,Safe window,0,0.7972337962962963,0.7972337962962963,-3.7825,0.5913194444444444
CVE-2021-22569,com.google.protobuf:protobuf-java,io.zeebe:zeebe-exporter-protobuf,camunda-community-hub/zeebe-exporter-protobuf,Transparent,T1,Safe window,0,0.9318981481481482,0.9318981481481482,-3.647835648148148,0.7259837962962963
CVE-2021-22569,com.google.protobuf:protobuf-java,io.kubernetes:client-java-proto,kubernetes-client/java,Transparent,T1,Safe window,0,0.6643171296296296,0.6643171296296296,-3.915416666666667,0.4584027777777777
CVE-2021-22569,com.google.protobuf:protobuf-java,org.bboxdb:bboxdb-tools,jnidzwetzki/bboxdb,Transparent,T1,Safe window,0,0.7546064814814815,0.7546064814814815,-3.825127314814815,0.5486921296296297
CVE-2017-3589,mysql:mysql-connector-java,org.jsimpledb:jsimpledb-kv-sql,archiecobbs/jsimpledb,Silent,S1,After disclosure,1,61.736875,52.98248842592593,42.661400462962966,
CVE-2017-3589,mysql:mysql-connector-java,org.duracloud.snapshot:snapshot-common-db,duracloud/snapshot,Silent,S1,After disclosure,1,1349.8122453703704,1341.0578587962964,1330.7367708333334,
CVE-2017-3589,mysql:mysql-connector-java,org.wallride:wallride-bootstrap,tagbangers/wallride,Silent,S1,After disclosure,1,463.1952546296296,454.44086805555554,444.1197800925926,
CVE-2017-3589,mysql:mysql-connector-java,com.thankjava.toolkit3d:fast-toolkit3d,lazy-koala/java-toolkit,Silent,S1,After disclosure,1,124.68597222222222,115.93158564814814,105.61049768518518,
CVE-2017-3589,mysql:mysql-connector-java,com.helger:peppol-smp-server-sql,phax/peppol-smp-server,Silent,S1,After disclosure,1,272.4746064814815,263.7202199074074,253.39913194444443,
CVE-2017-3589,mysql:mysql-connector-java,com.alibaba:druid,alibaba/druid,Silent,S1,After disclosure,1,241.37625,232.6218634259259,222.30077546296295,
CVE-2017-3589,mysql:mysql-connector-java,io.nflow:nflow-tests,NitorCreations/nflow,Silent,S1,After disclosure,1,99.40504629629628,90.65065972222222,80.32957175925925,
CVE-2017-3589,mysql:mysql-connector-java,org.duracloud.db:mill-db-repo,duracloud/duracloud-db,Silent,S1,After disclosure,1,1237.6438310185183,1228.8894444444445,1218.5683564814815,
CVE-2017-3589,mysql:mysql-connector-java,com.impetus.fabric:fabric-jdbc-driver,Impetus/fabric-jdbc-connector,Silent,S1,After disclosure,1,398.5306712962963,389.7762847222222,379.45519675925925,
CVE-2016-5001,org.apache.hadoop:hadoop-hdfs,com.marklogic:marklogic-mapreduce2,marklogic/marklogic-contentpump,Transparent,T1,After disclosure,1,1937.3841898148148,1912.0709027777775,1337.9023032407408,1958.941886574074
CVE-2016-5001,org.apache.hadoop:hadoop-hdfs,org.apache.reef:reef-io,apache/reef,Transparent,T1,Safe window,0,567.1363078703704,541.8230208333333,-32.3455787037037,588.6940046296296
CVE-2016-5001,org.apache.hadoop:hadoop-hdfs,com.qubole.rubix:rubix-hadoop2,qubole/rubix,Transparent,T1,After disclosure,1,1642.9844444444443,1617.6711574074077,1043.5025578703703,1664.5421412037035
CVE-2016-5001,org.apache.hadoop:hadoop-hdfs,com.streamxhub.streamx:streamx-flink-repl,streamxhub/streamx,Transparent,T1,After disclosure,1,1981.0905787037036,1955.7772916666668,1381.6086921296296,2002.648275462963
CVE-2016-1000339,org.bouncycastle:bcprov-jdk15on,no.digipost:digipost-api-client-java,digipost/digipost-api-client-java,Silent,S1,After disclosure,1,1414.047372685185,1361.812210648148,834.458136574074,
CVE-2016-1000339,org.bouncycastle:bcprov-jdk15on,io.baltoro:client-lib,junaidontable/baltoro.lib,Silent,S1,After disclosure,1,1273.7503125,1221.515150462963,694.1610763888889,
CVE-2016-1000339,org.bouncycastle:bcprov-jdk15on,de.taimos:dvalin-jaxrs,taimos/dvalin,Silent,S1,After disclosure,1,1906.1327314814816,1853.8975694444443,1326.5434953703705,
CVE-2016-1000339,org.bouncycastle:bcprov-jdk15on,com.augustcellars.cose:cose-java,cose-wg/cose-java,Silent,S1,After disclosure,1,979.4119560185184,927.1767939814816,399.8227199074074,
CVE-2016-1000339,org.bouncycastle:bcprov-jdk15on,net.anotheria:ano-util,anotheria/ano-util,Silent,S1,After disclosure,1,1746.2345486111112,1693.9993865740742,1166.6453125,
CVE-2016-1000339,org.bouncycastle:bcprov-jdk15on,com.cybersource:cybersource-sdk-java,CyberSource/cybersource-sdk-java,Silent,S1,After disclosure,1,855.1663541666667,802.9311921296296,275.57711805555556,
CVE-2016-1000339,org.bouncycastle:bcprov-jdk15on,no.difi.sdp:sikker-digital-post-klient-java,difi/sikker-digital-post-klient,Silent,S1,After disclosure,1,864.1511689814815,811.9160069444445,284.56193287037036,
CVE-2016-1000339,org.bouncycastle:bcprov-jdk15on,no.digipost:certificate-validator,digipost/certificate-validator,Silent,S1,After disclosure,1,945.9150347222222,893.6798726851852,366.3257986111111,
