CVE_ID,G:A:V,downstream_GA
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.cedarsoft.open.serialization.samples:demo1
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.cedarsoft.open.serialization.samples:evolution
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.cedarsoft.open.serialization.samples:stax-demo
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.cedarsoft.open.serialization.samples:stax-mate-demo
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.cedarsoft.serialization.samples:demo1
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.cedarsoft.serialization.samples:evolution
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.cedarsoft.serialization.test:performance
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.exactpro.sf:sailfish-frontend
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.chaojunzi:chao-cloud-common-extra
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.dimovelev:metrics-sampler-core
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.dimovelev:metrics-sampler-extension-jdbc
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.fk7075:lucky
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.fk7075:lucky-framework
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.fk7075:lucky-utils
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.jackieonway.util:jackie-tool
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.jarvisframework:jarvis-tool-core
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.liuchink.hcutils:hcUtils-all
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.liuchink.hcutils:hcUtils-baidu
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.liuchink.hcutils:hcUtils-date
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.liuchink.hcutils:hcUtils-json
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.liuchink.hcutils:hcUtils-map
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.liuzhenghui:ecology-plugin-core
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.liuzhenghui:ecology-swagger
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.luues:commons-openoffice
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.luues:spring-boot-starter-openoffice
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.martinhaeusler:org.chronos.chronodb.api
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.martinhaeusler:org.chronos.chronodb.exodus
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.mrLawrenc:mrLawrenc-tool-spring-boot-starter
