repo,repo_url,mined_at_utc,mining_status,error_type,error_message
apache/ranger,https://github.com/apache/ranger,2026-08-14T16:56:09.879717+00:00,error,HTTPError,HTTP Error 401: Unauthorized
apache/reef,https://github.com/apache/reef,2026-08-14T16:56:10.038612+00:00,error,HTTPError,HTTP Error 401: Unauthorized
apache/royale-compiler,https://github.com/apache/royale-compiler,2026-08-14T16:56:10.247119+00:00,error,HTTPError,HTTP Error 401: Unauthorized
apicurio/apicurio-registry,https://github.com/apicurio/apicurio-registry,2026-08-14T16:56:10.410341+00:00,error,HTTPError,HTTP Error 401: Unauthorized
apigee/apigee-config-maven-plugin,https://github.com/apigee/apigee-config-maven-plugin,2026-08-14T16:56:10.586182+00:00,error,HTTPError,HTTP Error 401: Unauthorized
apigee/apigee-smartdocs-maven-plugin,https://github.com/apigee/apigee-smartdocs-maven-plugin,2026-08-14T16:56:10.899839+00:00,error,HTTPError,HTTP Error 401: Unauthorized
appNG/appng,https://github.com/appNG/appng,2026-08-14T16:56:11.142254+00:00,error,HTTPError,HTTP Error 401: Unauthorized
appNG/appng-scheduler,https://github.com/appNG/appng-scheduler,2026-08-14T16:56:11.518830+00:00,error,HTTPError,HTTP Error 401: Unauthorized
archiecobbs/dellroad-stuff,https://github.com/archiecobbs/dellroad-stuff,2026-08-14T16:56:11.766209+00:00,error,HTTPError,HTTP Error 401: Unauthorized
archiecobbs/jsimpledb,https://github.com/archiecobbs/jsimpledb,2026-08-14T16:56:12.096273+00:00,error,HTTPError,HTTP Error 401: Unauthorized
archivesunleashed/aut,https://github.com/archivesunleashed/aut,2026-08-14T16:56:12.468174+00:00,error,HTTPError,HTTP Error 401: Unauthorized
arenadata/hive,https://github.com/arenadata/hive,2026-08-14T16:56:12.628937+00:00,error,HTTPError,HTTP Error 401: Unauthorized
arpnetworking/commons,https://github.com/arpnetworking/commons,2026-08-14T16:56:12.992847+00:00,error,HTTPError,HTTP Error 401: Unauthorized
arpnetworking/logback-steno,https://github.com/arpnetworking/logback-steno,2026-08-14T16:56:13.341924+00:00,error,HTTPError,HTTP Error 401: Unauthorized
arpnetworking/metrics-cluster-aggregator,https://github.com/arpnetworking/metrics-cluster-aggregator,2026-08-14T16:56:13.620220+00:00,error,HTTPError,HTTP Error 401: Unauthorized
ashwanthkumar/gocd-java-client,https://github.com/ashwanthkumar/gocd-java-client,2026-08-14T16:56:13.864288+00:00,error,HTTPError,HTTP Error 401: Unauthorized
aspectran/aspectran,https://github.com/aspectran/aspectran,2026-08-14T16:56:14.270354+00:00,error,HTTPError,HTTP Error 401: Unauthorized
astrapi69/jetty-runner,https://github.com/astrapi69/jetty-runner,2026-08-14T16:56:14.620701+00:00,error,HTTPError,HTTP Error 401: Unauthorized
astrapi69/mystic-crypt,https://github.com/astrapi69/mystic-crypt,2026-08-14T16:56:14.780538+00:00,error,HTTPError,HTTP Error 401: Unauthorized
astrapi69/spring-tool-extensions,https://github.com/astrapi69/spring-tool-extensions,2026-08-14T16:56:15.266486+00:00,error,HTTPError,HTTP Error 401: Unauthorized
automatiko-io/automatiko-engine,https://github.com/automatiko-io/automatiko-engine,2026-08-14T16:56:15.614117+00:00,error,HTTPError,HTTP Error 401: Unauthorized
awslabs/amazon-kinesis-client,https://github.com/awslabs/amazon-kinesis-client,2026-08-14T16:56:15.772010+00:00,error,HTTPError,HTTP Error 401: Unauthorized
baayso/commons,https://github.com/baayso/commons,2026-08-14T16:56:16.072234+00:00,error,HTTPError,HTTP Error 401: Unauthorized
basestar/basestar,https://github.com/basestar/basestar,2026-08-14T16:56:16.366687+00:00,error,HTTPError,HTTP Error 401: Unauthorized
bcgov/cpf,https://github.com/bcgov/cpf,2026-08-14T16:56:16.711470+00:00,error,HTTPError,HTTP Error 401: Unauthorized
beangle/beangle3,https://github.com/beangle/beangle3,2026-08-14T16:56:16.874099+00:00,error,HTTPError,HTTP Error 401: Unauthorized
bedrin/kerb4j,https://github.com/bedrin/kerb4j,2026-08-14T16:56:17.115106+00:00,error,HTTPError,HTTP Error 401: Unauthorized
benas/easy-batch,https://github.com/benas/easy-batch,2026-08-14T16:56:17.278337+00:00,error,HTTPError,HTTP Error 401: Unauthorized
