repo,repo_url,uses_dependabot_ever,dependabot_usage_type_ever,dependabot_lifecycle,security_first_version_later_ever,has_dependabot_pr,first_dependabot_pr_date,first_dependabot_pr_url,first_dependabot_pr_number,first_dependabot_pr_author,first_dependabot_pr_title,has_dependabot_config,dependabot_config_path,dependabot_config_created_date,dependabot_config_created_sha,dependabot_config_created_url,days_security_to_version,mined_at_utc
snyk/snyk-maven-plugin,https://github.com/snyk/snyk-maven-plugin,False,not_using_dependabot,never_detected,False,False,,,,,,False,,,,,,2026-08-14T18:14:21.909042+00:00
soasada/popok,https://github.com/soasada/popok,True,security_updates_only,security_only_ever,False,True,2021-02-18T21:16:29Z,https://github.com/soasada/popok/pull/15,15.0,dependabot,Bump jackson.version from 2.10.3 to 2.12.1,False,,,,,,2026-08-14T18:14:28.491286+00:00
softelnet/sponge,https://github.com/softelnet/sponge,True,security_updates_only,security_only_ever,False,True,2020-11-16T16:52:02Z,https://github.com/softelnet/sponge/pull/1,1.0,dependabot,Bump jetty.version from 9.4.31.v20200723 to 9.4.34.v20201102,False,,,,,,2026-08-14T18:14:35.541668+00:00
sokomishalov/skraper,https://github.com/sokomishalov/skraper,True,both_security_and_version_updates,security_then_version,True,True,2020-02-10T02:31:09Z,https://github.com/sokomishalov/skraper/pull/4,4.0,dependabot-preview,Bump jsoup from 1.12.1 to 1.12.2,True,.github/dependabot.yml,2021-04-30T09:12:01Z,1cacfafd2d1c97854ecaede090a682cffcb27338,https://github.com/sokomishalov/skraper/commit/1cacfafd2d1c97854ecaede090a682cffcb27338,445.2783796296296,2026-08-14T18:14:41.926209+00:00
solr-cool/solr-analyzers,https://github.com/solr-cool/solr-analyzers,True,both_security_and_version_updates,same_day_security_and_version,False,True,2020-08-23T19:44:32Z,https://github.com/solr-cool/solr-analyzers/pull/1,1.0,dependabot,Bump maven-assembly-plugin from 2.5.3 to 3.3.0,True,.github/dependabot.yml,2020-08-23T19:43:49Z,7b662f34a8c54e83557ffa51e2d3d1c10be2fdb9,https://github.com/solr-cool/solr-analyzers/commit/7b662f34a8c54e83557ffa51e2d3d1c10be2fdb9,,2026-08-14T18:14:51.562763+00:00
solr-cool/solr-thymeleaf,https://github.com/solr-cool/solr-thymeleaf,True,both_security_and_version_updates,same_day_security_and_version,False,True,2020-08-23T19:46:05Z,https://github.com/solr-cool/solr-thymeleaf/pull/1,1.0,dependabot,Bump solr.version from 7.4.0 to 8.6.1,True,.github/dependabot.yml,2020-08-23T19:45:17Z,e83e7604a963ed2b4fe3bb9833c53931743703a3,https://github.com/solr-cool/solr-thymeleaf/commit/e83e7604a963ed2b4fe3bb9833c53931743703a3,,2026-08-14T18:14:58.623799+00:00
solr-cool/solr-util,https://github.com/solr-cool/solr-util,True,both_security_and_version_updates,same_day_security_and_version,False,True,2020-08-23T19:46:43Z,https://github.com/solr-cool/solr-util/pull/1,1.0,dependabot,Bump solr-core from 7.4.0 to 8.6.1,True,.github/dependabot.yml,2020-08-23T19:46:18Z,17b092df064f195466c1e035c67b1927e69aa3e0,https://github.com/solr-cool/solr-util/commit/17b092df064f195466c1e035c67b1927e69aa3e0,,2026-08-14T18:15:06.698128+00:00
sonallux/spotify-web-api,https://github.com/sonallux/spotify-web-api,True,both_security_and_version_updates,same_day_security_and_version,False,True,2020-08-10T15:39:46Z,https://github.com/sonallux/spotify-web-api/pull/1,1.0,dependabot,Bump jackson.version from 2.10.5 to 2.11.2,True,.github/dependabot.yml,2020-08-10T15:39:11Z,403e1783902b4f95e9654fa1e294a05783bf22fa,https://github.com/sonallux/spotify-web-api/commit/403e1783902b4f95e9654fa1e294a05783bf22fa,,2026-08-14T18:15:14.601944+00:00
spdx/LicenseListPublisher,https://github.com/spdx/LicenseListPublisher,True,security_updates_only,security_only_ever,False,True,2019-11-02T15:13:39Z,https://github.com/spdx/LicenseListPublisher/pull/59,59.0,dependabot,Bump ffi from 1.9.8 to 1.11.1 in /resources/htmlTemplate/sites/all/themes/cpstandard,False,,,,,,2026-08-14T18:15:23.421836+00:00
spdx/tools,https://github.com/spdx/tools,True,security_updates_only,security_only_ever,False,True,2019-11-13T09:34:05Z,https://github.com/spdx/tools/pull/212,212.0,dependabot,Bump jackson-databind from 2.9.8 to 2.9.10.1,False,,,,,,2026-08-14T18:15:30.064799+00:00
