CVE,UPSTREAM G:A:V,DOWNSTREAM G:A:V,DOWNSTREAM REPO,COMMIT,COMMIT_DATE,COMMIT_DATE_ERROR,GITHUB_REPO_PARSED,COMMIT_SHA_PARSED,COMMIT_URL_PARSED
CVE-2015-5262,org.apache.httpcomponents:httpclient,de.unibonn.iai.eis:luzzu-communications,EIS-Bonn/Luzzu,https://github.com/EIS-Bonn/Luzzu/commit/b43bc0e64590b2fba154a6bb256fb5ea1b6b35a0,,404_not_found,EIS-Bonn/Luzzu,b43bc0e64590b2fba154a6bb256fb5ea1b6b35a0,https://github.com/EIS-Bonn/Luzzu/commit/b43bc0e64590b2fba154a6bb256fb5ea1b6b35a0
CVE-2019-12402,org.apache.commons:commons-compress,com.milaboratory:milib,milaboratory/milib,https://github.com/milaboratory/milib/commit/5e0d37cc0bcbfbf1877f744ef5b87b4b66593b9a,,404_not_found,milaboratory/milib,5e0d37cc0bcbfbf1877f744ef5b87b4b66593b9a,https://github.com/milaboratory/milib/commit/5e0d37cc0bcbfbf1877f744ef5b87b4b66593b9a
CVE-2018-8009,org.apache.hadoop:hadoop-common,com.stratio.qa:bdt,Stratio/bdt,https://github.com/Stratio/bdt/commit/1f5519847861e2985aa97fe671df1b8395243233,,404_not_found,Stratio/bdt,1f5519847861e2985aa97fe671df1b8395243233,https://github.com/Stratio/bdt/commit/1f5519847861e2985aa97fe671df1b8395243233
CVE-2018-8009,org.apache.hadoop:hadoop-common,com.stratio.qa:bdt,Stratio/bdt,https://github.com/Stratio/bdt/commit/1f5519847861e2985aa97fe671df1b8395243233,,404_not_found,Stratio/bdt,1f5519847861e2985aa97fe671df1b8395243233,https://github.com/Stratio/bdt/commit/1f5519847861e2985aa97fe671df1b8395243233
CVE-2018-8026,org.apache.solr:solr-core,io.logspace:logspace-hq-rest,Indoqa/logspace,https://github.com/Indoqa/logspace/commit/9f98d4c9e43fb90b8e6ba7f3800bf67824bca874,,404_not_found,Indoqa/logspace,9f98d4c9e43fb90b8e6ba7f3800bf67824bca874,https://github.com/Indoqa/logspace/commit/9f98d4c9e43fb90b8e6ba7f3800bf67824bca874
CVE-2018-8026,org.apache.solr:solr-core,io.logspace:logspace-hq-rest,Indoqa/logspace,https://github.com/Indoqa/logspace/commit/9f98d4c9e43fb90b8e6ba7f3800bf67824bca874,,404_not_found,Indoqa/logspace,9f98d4c9e43fb90b8e6ba7f3800bf67824bca874,https://github.com/Indoqa/logspace/commit/9f98d4c9e43fb90b8e6ba7f3800bf67824bca874
CVE-2016-1000031,commons-fileupload:commons-fileupload,com.groupon.odo:proxylib,groupon/odo,https://github.com/groupon/odo/commit/f8b0f003c31b16acd3a40c62bc6c810bee35e4c6,,404_not_found,groupon/odo,f8b0f003c31b16acd3a40c62bc6c810bee35e4c6,https://github.com/groupon/odo/commit/f8b0f003c31b16acd3a40c62bc6c810bee35e4c6
CVE-2016-1000031,commons-fileupload:commons-fileupload,com.groupon.odo:proxylib,groupon/odo,https://github.com/groupon/odo/commit/f8b0f003c31b16acd3a40c62bc6c810bee35e4c6,,404_not_found,groupon/odo,f8b0f003c31b16acd3a40c62bc6c810bee35e4c6,https://github.com/groupon/odo/commit/f8b0f003c31b16acd3a40c62bc6c810bee35e4c6
CVE-2020-28491,com.fasterxml.jackson.dataformat:jackson-dataformat-cbor,io.axway.iron:iron-spi-aws,Axway/iron,https://github.com/Axway/iron/commit/2f6e203b75990929ea84f14c3f116d4ced3a1e54,,404_not_found,Axway/iron,2f6e203b75990929ea84f14c3f116d4ced3a1e54,https://github.com/Axway/iron/commit/2f6e203b75990929ea84f14c3f116d4ced3a1e54
CVE-2012-6153,org.apache.httpcomponents:httpclient,com.mgmtp.perfload:perfload-client,mgm-tp/perfload-core,https://github.com/mgm-tp/perfload-core/commit/7f7307bd78c4ad10fadbe4acbd6a7eaff8ed5cfd,,404_not_found,mgm-tp/perfload-core,7f7307bd78c4ad10fadbe4acbd6a7eaff8ed5cfd,https://github.com/mgm-tp/perfload-core/commit/7f7307bd78c4ad10fadbe4acbd6a7eaff8ed5cfd
CVE-2012-6153,org.apache.httpcomponents:httpclient,com.mgmtp.perfload:perfload-client,mgm-tp/perfload-core,https://github.com/mgm-tp/perfload-core/commit/7f7307bd78c4ad10fadbe4acbd6a7eaff8ed5cfd,,404_not_found,mgm-tp/perfload-core,7f7307bd78c4ad10fadbe4acbd6a7eaff8ed5cfd,https://github.com/mgm-tp/perfload-core/commit/7f7307bd78c4ad10fadbe4acbd6a7eaff8ed5cfd
CVE-2017-5637,org.apache.zookeeper:zookeeper,com.salesforce.argus:argus-core,salesforce/Argus,https://github.com/salesforce/Argus/commit/d5bbe268c9e3cc8b4aa0661db20582edbdf65859,,404_not_found,salesforce/Argus,d5bbe268c9e3cc8b4aa0661db20582edbdf65859,https://github.com/salesforce/Argus/commit/d5bbe268c9e3cc8b4aa0661db20582edbdf65859
CVE-2017-5637,org.apache.zookeeper:zookeeper,com.salesforce.argus:argus-core,salesforce/Argus,https://github.com/salesforce/Argus/commit/d5bbe268c9e3cc8b4aa0661db20582edbdf65859,,404_not_found,salesforce/Argus,d5bbe268c9e3cc8b4aa0661db20582edbdf65859,https://github.com/salesforce/Argus/commit/d5bbe268c9e3cc8b4aa0661db20582edbdf65859
CVE-2017-5637,org.apache.zookeeper:zookeeper,com.salesforce.argus:argus-core,salesforce/Argus,https://github.com/salesforce/Argus/commit/d5bbe268c9e3cc8b4aa0661db20582edbdf65859,,404_not_found,salesforce/Argus,d5bbe268c9e3cc8b4aa0661db20582edbdf65859,https://github.com/salesforce/Argus/commit/d5bbe268c9e3cc8b4aa0661db20582edbdf65859
CVE-2018-8027,org.apache.camel:camel-core,org.talend.camel:camel-talendjob,Talend/tesb-rt-se,https://github.com/Talend/tesb-rt-se/commit/0b9dcdc67f5bd94a8a04bc8cbad0f8f3892a0aed,,404_not_found,Talend/tesb-rt-se,0b9dcdc67f5bd94a8a04bc8cbad0f8f3892a0aed,https://github.com/Talend/tesb-rt-se/commit/0b9dcdc67f5bd94a8a04bc8cbad0f8f3892a0aed
